stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
214372,295,Göztepe,,40.9791648388466,29.0625591735035,,http://www.marmaray.gov.tr,0,,,1
214356,273,Küçükçekmece,,40.9885301752163,28.7729538518441,,http://www.marmaray.gov.tr/,0,,,1
214358,271,Florya Akvaryum,,40.9677718222994,28.7970462624679,,http://www.marmaray.gov.tr/,0,,,1
214370,297,Söðütlüçeþme,,40.990902337839,29.0376279458605,,http://www.marmaray.gov.tr,0,,,1
214384,283,Yunus,,40.8845046267267,29.2105353314047,,http://www.marmaray.gov.tr,0,,,1
272164,337,Altýnþehir,,41.0479107181971,28.7478913887338,,,0,,,1
214357,272,Florya,,40.9729629167419,28.7874770796778,,http://www.marmaray.gov.tr/,0,,,1
214382,285,Baþak,,40.8905590782827,29.1773527136764,,http://www.marmaray.gov.tr,0,,,1
214375,292,Bostancý,,40.9538001484529,29.0950591485625,,http://www.marmaray.gov.tr,0,,,1
214390,277,Ýçmeler,,40.8456508904887,29.3000611746553,,http://www.marmaray.gov.tr,0,,,1
12258,67,Ayrýlýkçeþme,Ayrýlýkçeþme,41.000142555216,29.0301410162619,,http://www.marmaray.gov.tr/icerik/sefer/G%C3%BCnl%C3%BCk-Tren-Saatleri/59,0,,,0
214380,287,Cevizli,,40.9100151224824,29.1560454699434,,http://www.marmaray.gov.tr,0,,,1
272163,338,Konut Birlik,,41.0347259518404,28.7632680871857,,,0,,,1
214388,279,Güzelyalý,,40.8568547122426,29.2834955974544,,http://www.marmaray.gov.tr,0,,,1
214360,269,Yeþilyurt,,40.9654758614525,28.8372823708532,,http://www.marmaray.gov.tr/,0,,,1
12262,237,Kazlýçeþme,Kazlýçeþme,40.992686765903,28.9168834698481,,http://www.marmaray.gov.tr/icerik/sefer/G%C3%BCnl%C3%BCk-Tren-Saatleri/59,0,,,0
214379,288,Maltepe,,40.9206463835831,29.1335259970986,,http://www.marmaray.gov.tr,0,,,1
272166,335,Bahçeþehir,,41.0841902407978,28.6793350375517,,,0,,,1
214354,275,Halkalý,,41.0178427940864,28.7664382511562,,http://www.marmaray.gov.tr/,0,,,1
214383,284,Kartal,,40.8886128831676,29.1911901410005,,http://www.marmaray.gov.tr,0,,,1
214377,290,Ýdealtepe,,40.9378068714961,29.1142558579521,,http://www.marmaray.gov.tr,0,,,1
214369,298,Çayýrova,,40.8104982886506,29.3475125745724,,http://www.marmaray.gov.tr,0,,,1
214391,276,Tuzla,,40.8299524360082,29.3223601331439,,http://www.marmaray.gov.tr,0,,,1
12259,68,Üsküdar,Üsküdar,41.025756685677,29.0137932912137,,http://www.marmaray.gov.tr/icerik/sefer/G%C3%BCnl%C3%BCk-Tren-Saatleri/59,0,,,0
214366,301,Darýca,,40.7914192062897,29.3918381727911,,http://www.marmaray.gov.tr,0,,,1
214361,268,Ataköy,,40.9802168588159,28.8562250170243,,http://www.marmaray.gov.tr/,0,,,1
214373,294,Erenköy,,40.9714092751695,29.0764726675955,,http://www.marmaray.gov.tr,0,,,1
214362,267,Bakýrköy,,40.9802655959296,28.8723187722271,,http://www.marmaray.gov.tr/,0,,,1
214359,270,Yeþilköy,,40.9626579916415,28.8248828840576,,http://www.marmaray.gov.tr/,0,,,1
214386,281,Kaynarca,,40.8713029434192,29.2560336339024,,http://www.marmaray.gov.tr,0,,,1
214367,300,Osmangazi,,40.7992722879167,29.3800141019468,,http://www.marmaray.gov.tr,0,,,1
