PARK_NAME,LOCATION_NAME,PARK_TYPE_ID,PARK_TYPE_DESC,CAPACITY_OF_PARK,WORKING_TIME,COUNTY_NAME,LONGITUDE,LATITUDE
Sirkeci Gar Önü 1,Sirkeci Gar Ön,AÇIK OTOPARK,AÇIK OTOPARK,60,07:00-20:00,FATİH,28.9761848988207,41.0149750931269
Çatalçeşme 1,Çatalçeşme Soka,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,FATİH,28.975761922864,41.0092770406124
İmran Öktem Yol Üstü Otoparkı 1,İmran Öktem Yol Üstü Otopark,YOL ÜSTÜ,YOL ÜSTÜ,75,07:00-22:00,FATİH,28.9736426936005,41.0066882806944
İmran Öktem Yol Üstü Otoparkı 2,İmran Öktem Yol Üstü Otopark,YOL ÜSTÜ,YOL ÜSTÜ,75,07:00-22:00,FATİH,28.9742397548511,41.0073048410607
Cihannuma Yol Üstü 1,Cihannuma Yol Üstü Otopark,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-23:00,BEŞİKTAŞ,29.0096090651442,41.0495730252424
Pendik Lokman Hekim Caddesi 3,Pendik Lokman Hekim Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,09:00-19:00,PENDİK,29.2354831095073,40.8788748019956
Ortaköy Portakal Yokuşu 1,Beşiktaş Portakal Yokuş,YOL ÜSTÜ,YOL ÜSTÜ,15,08:00-23:00,BEŞİKTAŞ,29.0268364548683,41.050612361508
Pierre Loti Caddesi 1,Pierloti Caddes,YOL ÜSTÜ,YOL ÜSTÜ,37,07:00-18:00,FATİH,28.9693755641988,41.005328246269
Pierre Loti Caddesi 2,Pierloti Caddes,YOL ÜSTÜ,YOL ÜSTÜ,37,07:00-18:00,FATİH,28.9691095103396,41.0055183589376
Hayriye Tüccariye Caddesi 1,Hayriye Tüccariye Caddes,YOL ÜSTÜ,YOL ÜSTÜ,35,08:00-18:00,FATİH,28.9567218651891,41.0070789327206
İstinye 7 ( Spor Alanı ),İstinye Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-18:00,SARIYER,29.0573328407998,41.1150621149252
Ataşehir Bulvarı 14,Ataşehir Bulvar,YOL ÜSTÜ,YOL ÜSTÜ,20,08:00-18:00,ATAŞEHİR,29.1178984788888,40.9924426745313
Fevzipaşa Caddesi 2,Fevzipaşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-19:00,FATİH,28.9515428392275,41.0161469758954
Akdeniz Caddesi 3,Akdeniz Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-19:00,FATİH,28.945694385541,41.0187221516126
Etyemez Tekkesi Sokak 1,Etyemez Tekkesi Soka,YOL ÜSTÜ,YOL ÜSTÜ,59,08:00-17:00,FATİH,28.9367854918419,41.0029286139093
Etyemez Tekkesi Sokak 4,Etyemez Tekkesi Soka,YOL ÜSTÜ,YOL ÜSTÜ,59,08:00-17:00,FATİH,28.9363190590963,41.0043557409347
Bakırköy İstanbul Caddesi 3,Bakırköy İstanbul Caddes,YOL ÜSTÜ,YOL ÜSTÜ,70,08:00-19:00,BAKIRKÖY,28.8759572046035,40.9784725236022
Bakırköy İstanbul Caddesi 7,Bakırköy İstanbul Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-19:00,BAKIRKÖY,28.878549847204,40.9786184164184
Zeytinburnu 58. Bulvar 2,Zeytinburnu 58. Bulva,YOL ÜSTÜ,YOL ÜSTÜ,48,09:00-19:00,ZEYTİNBURNU,28.9038349137749,40.9933790428899
