İLÇE,MAHALLE,HANE SAYISI
USKUDAR,BULGURLU,104
USKUDAR,BURHANIYE,131
USKUDAR,CUMHURIYET,231
USKUDAR,CENGELKOY,91
USKUDAR,FERAH,216
USKUDAR,GUZELTEPE,101
USKUDAR,ICADIYE,82
USKUDAR,KANDILLI,1
USKUDAR,KISIKLI,126
USKUDAR,KIRAZLITEPE,138
USKUDAR,KULELI,15
USKUDAR,KUZGUNCUK,22
USKUDAR,KUCUK CAMLICA,60
USKUDAR,KUCUKSU,78
USKUDAR,KUPLUCE,265
USKUDAR,MEHMET AKIF ERSOY,338
USKUDAR,MIMAR SINAN,143
USKUDAR,MURATREIS,132
USKUDAR,SALACAK,29
USKUDAR,SELAMI ALI,239
USKUDAR,SELIMIYE,34
USKUDAR,SULTANTEPE,42
USKUDAR,UNALAN,391
USKUDAR,VALIDE-I ATIK,209
USKUDAR,YAVUZTURK,911
USKUDAR,ZEYNEP KAMIL,147
ZEYTINBURNU,BESTELSIZ,445
ZEYTINBURNU,CIRPICI,669
ZEYTINBURNU,GOKALP,320
ZEYTINBURNU,KAZLICESME,10
ZEYTINBURNU,MERKEZEFENDI,278
ZEYTINBURNU,NURIPASA,344
ZEYTINBURNU,SEYITNIZAM,368
ZEYTINBURNU,SUMER,397
ZEYTINBURNU,TELSIZ,587
ZEYTINBURNU,VELIEFENDI,585
ZEYTINBURNU,YENIDOGAN,98
ZEYTINBURNU,YESILTEPE,435
