TÜR,MAHAL ADI,İLÇE,latitude,longitude
PARK,KAYALI BAHÇE PARKI,BAKIRKÖY,40.97300068 , 28.78923982
PARK,FLORYA SAHİL PARKI,BAKIRKÖY,40.97004532 , 28.79125272
PARK,FLORYA AKVARYUM ÇEVRESİ,BAKIRKÖY,40.96565926 , 28.79825785
PARK,DENİZ AKTAŞ PARKI,BAKIRKÖY,40.96378000 , 28.83312400
PARK,ŞEHİT GÜLŞEN BAHADIR PARKI (YEŞİLKÖY SAHİL PARKI),BAKIRKÖY,40.96378000 , 28.83312400
PARK,KAZAKİSTAN PARKI,BAKIRKÖY,40.97633300 , 28.86503800
PARK,AYTEKİN KOTİL PARKI ,BAKIRKÖY,40.97740700 , 28.88432000
PARK,BAKIRKÖY SAKIZAĞACI PARKI,BAKIRKÖY,40.97855300 , 28.88447400
PARK,BAKIRKÖY CEVİZLİK PARKI,BAKIRKÖY,40.97465500 , 28.87640300
PARK,BİLAL BOZKAYA PARKI,BAKIRKÖY,40.98722800 , 28.86873800
PARK,ÇAMLIK ATATÜRK PARKI,BAKIRKÖY,40.98726333 , 28.86964946
PARK,DİNAZORLU PARK,BAKIRKÖY,40.98250900 , 28.87212600
PARK,BARUTHANE MİLLET BAHÇESİ,BAKIRKÖY,40.97520012 , 28.85888457
PARK,ZUHURATBABA PARKI,BAKIRKÖY,40.98727641 , 28.87068897
PARK,ÖZGÜRLÜK VE DEMOKRASİ PARKI (OLİMPİYAT PARKI),BAKIRKÖY,40.95989909 , 28.83706748
PARK,ÇINAR OTEL YANI PARKI,BAKIRKÖY,40.95946360 , 28.83750468
PARK,ATATÜRK PARKI,BAKIRKÖY,40.98055515 , 28.79377797
PARK,50.YIL PARKI,FATİH,41.01483464 , 28.95550311
PARK,ARKEOLOJİ PARKI,FATİH,41.01464440 , 28.95324469
PARK,ŞEHİT MEHMET HÜSEYİN BALTA PARKI,FATİH,41.02979312 , 28.93634140
PARK,FATİH ANIT PARK,FATİH,41.01575345 , 28.95433903
PARK,HAVA ŞEHİTLİK PARKI,FATİH,41.01593964 , 28.95280480
PARK,ŞEHİT AHMET KARA PARK,FATİH,41.01665607 , 28.95575523
PARK,MACAR KARDEŞLER PARKI,FATİH,41.01535274 , 28.95263046
PARK,ORUÇGAZİ PARKI,FATİH,41.01303745 , 28.95275116
PARK,NUMUNE PARKI,FATİH,41.01242624 , 28.95442486
PARK,ŞELALE PARKI VE SÜS HAVUZU,GÜNGÖREN,41.00302654 , 28.88429582
PARK,TOPKAPI DEPREM PARKI,ZEYTİNBURNU,41.02142796 , 28.92103672
PARK,TÜRK BAHÇESİ,ZEYTİNBURNU,40.99330563 , 28.92042518
PARK,ÇIRPICI ŞEHİR PARKI,ZEYTİNBURNU,41.00031811 , 28.89099330
PARK,DR. MİMAR KADİR TOPBAŞ PARKI,FATİH,40.99771484 , 28.94713998
PARK,ÇATLADIKAPI PARKI,FATİH,41.00159744 , 28.97589326
PARK,GAYRET PARKI,FATİH,41.00240713 , 28.94027352
PARK,GENÇLİK PARKI,FATİH,41.00424509 , 28.95488620
PARK,MEHMET AKİF ERSOY PARKI,FATİH,40.99743952 , 28.93231004
PARK,NADİR NADİ PARKI,FATİH,41.00041932 , 28.93406153
PARK,SİRKECİ GAR ÖNÜ PARKI,FATİH,41.01604083 , 28.97674620
PARK,MERMERKULE  PARKI,FATİH,40.99098350 , 28.92536581
PARK,KOCA MUSTAFA PAŞA SAHİL PARKI,FATİH,40.99008256 , 28.92576277
PARK,ULUSLARARASI BARIŞ PARKI,FATİH,40.99020404 , 28.91971707
PARK,TURŞUCUZADE KONAĞI PARKI,FATİH,41.00826495 , 28.97790492
PARK,ŞEHİT ESRA TEKİN-HAKAN TEKİN PARKI,ZEYTİNBURNU,40.98886374 , 28.91169727
PARK,KAZLIÇEŞME SAHİL PARKI,ZEYTİNBURNU,40.98719138 , 28.91345680
PARK,KADI MEHMET EFENDİ PARKI,BEYOĞLU,41.03397732 , 28.96411568
PARK,DİKİLİTAŞ PARKI,BEŞİKTAŞ,41.05608262 , 29.00451645
PARK,TOPHANE PARKI,BEYOĞLU,41.02709388 , 28.98185313
PARK,FINDIKLI PARKI,BEŞİKTAŞ,41.03143203 , 28.98999631
PARK,KURUÇEŞME PARKI,BEŞİKTAŞ,41.06153219 , 29.03845310
PARK,TÜRKAN SABANCI BEBEK PARKI,BEŞİKTAŞ,41.07600895 , 29.04380679
PARK,BEBEK ÇINARLI BAHÇE PARKI,BEŞİKTAŞ,41.07668225 , 29.04288948
PARK,YAHYA KEMAL PARKI,BEŞİKTAŞ,41.04866849 , 29.00877714
PARK,EMİRHAN  PARKI,BEŞİKTAŞ,41.05861583 , 29.00885761
PARK,CEMİL TOPUZLU PARKI,BEŞİKTAŞ,41.05475277 , 29.03471947
PARK,TOPHANELİ KIDEMLİ YÜZBAŞI HAKKI EFENDİ PARKI,BEYOĞLU,41.02697652 , 28.97981465
PARK,CEZAYİRLİ HASAN PAŞA PARKI,BEYOĞLU,41.03038799 , 28.96706879
PARK,SURURİ PARKI,BEYOĞLU,41.03748958 , 28.97150517
PARK,MAHMUT ŞEVKET PAŞA PARKI,KAĞITHANE,41.05445342 , 28.96155417
PARK,BEYOĞLU HACI AHMET PARKI,BEYOĞLU,41.04372459 , 28.97292137
PARK,TAKSİM GEZİ PARKI,BEYOĞLU,41.03865085 , 28.98665965
PARK,KARAKÖY SAHİL PARKI,BEYOĞLU,41.02372676 , 28.96913946
PARK,KIBRIS BARIŞ ORMANI,BEYOĞLU,41.05438870 , 28.95416200
PARK,ÇAĞLAYAN ADLİYE SARAYI-ABİDEİ HÜRRİYET VE ŞEHİTLİK,ŞİŞLİ,41.06825430 , 28.98251295
PARK,İNÖNÜ PARKI,ŞİŞLİ,41.04196461 , 28.99687886
PARK,DARÜLBEDAİ PARKI,ŞİŞLİ,41.04828618 , 28.99112552
PARK,CİHANGİR PARKI,BEYOĞLU,41.03184479 , 28.98553312
PARK,CİHANGİR SOSYAL TESİSLERİ,BEYOĞLU,41.02850624 , 28.98265243
PARK,MAÇKA DEMOKRASİ PARKI,ŞİŞLİ,41.04418987 , 28.99375677
PARK,AŞİYAN PARKI,BEŞİKTAŞ,41.08127997 , 29.05413866
PARK,BALTALİMANI PARKI,SARIYER,41.09727847 , 29.05317307
PARK,CUMHURİYET MAHALLESİ PARKI,SARIYER,41.14417201 , 29.03286338
PARK,ÇAMLIK PARKI,SARIYER,41.12539455 , 29.07051640
PARK,DUATEPE PARKI,SARIYER,41.08740571 , 29.05107021
