İLÇE ADI,MAHALLE ADI,SES,SES SKORU
SANCAKTEPE,YENIDOGAN,D,25.0
SANCAKTEPE,YUNUSEMRE,D,25.0
SARIYER,AYAZAGA,C,37.5
SARIYER,BAHCEKOYMERKEZ,B,62.5
SARIYER,BAHCEKOYYENI,B,62.5
SARIYER,BALTALIMANI,D,25.0
SARIYER,BUYUKDERE,B+,75.0
SARIYER,CUMHURIYET,D,25.0
SARIYER,CAMLITEPE,C,37.5
SARIYER,CAYIRBASI,C+,50.0
SARIYER,DARUSSAFAKA,A,87.5
SARIYER,DEMIRCIKOY,B,62.5
SARIYER,EMIRGAN,A,87.5
SARIYER,FATIHSULTANMEHMET,D,25.0
SARIYER,FERAHEVLER,B,62.5
SARIYER,GARIPCE,C,37.5
SARIYER,GUMUSDERE,C,37.5
SARIYER,HUZUR,A,87.5
SARIYER,ISTINYE,A,87.5
SARIYER,KAZIMKARABEKIRPASA,D,25.0
SARIYER,KEMER,C,37.5
SARIYER,KISIRKAYA,E,12.5
SARIYER,KIRECBURNU,C+,50.0
SARIYER,KOCATAS,D,25.0
SARIYER,KUMKOY,C+,50.0
SARIYER,MADEN,B,62.5
SARIYER,MASLAK,A,87.5
SARIYER,MERKEZ,B,62.5
SARIYER,PINAR,C+,50.0
SARIYER,POLIGON,B+,75.0
SARIYER,PTTEVLERI,D,25.0
SARIYER,RESITPASA,B+,75.0
SARIYER,RUMELIHISARI,A,87.5
SARIYER,RUMELIKAVAGI,C,37.5
SARIYER,RUMELIFENERI,B+,75.0
SARIYER,TARABYA,B+,75.0
SARIYER,USKUMRUKOY,A,87.5
SARIYER,YENI,B,62.5
SARIYER,YENIKOY,A,87.5
SARIYER,ZEKERIYAKOY,A,87.5
SILIVRI,AKOREN,E,12.5
SILIVRI,ALIBEY,D,25.0
SILIVRI,ALIPASA,E,12.5
SILIVRI,BALABAN,E,12.5
SILIVRI,BEKIRLI,E,12.5
SILIVRI,BEYCILER,E,12.5
SILIVRI,BUYUKCAVUSLU,E,12.5
SILIVRI,BUYUKKILICLI,E,12.5
SILIVRI,BUYUKSINEKLI,E,12.5
SILIVRI,CUMHURIYET,D,25.0
SILIVRI,CAYIRDERE,E,12.5
SILIVRI,CELTIK,E,12.5
SILIVRI,DANAMANDIRA,E,12.5
SILIVRI,FATIH,D,25.0
SILIVRI,FENER,E,12.5
SILIVRI,FEVZIPASA,E,12.5
SILIVRI,GAZITEPE,E,12.5
SILIVRI,GUMUSYAKA,D,25.0
SILIVRI,HURRIYET,E,12.5
SILIVRI,ISMETPASA,E,12.5
SILIVRI,KADIKOY,E,12.5
SILIVRI,KAVAKLI,E,12.5
SILIVRI,KURFALLI,E,12.5
SILIVRI,KUCUKKILICLI,E,12.5
SILIVRI,KUCUKSINEKLI,E,12.5
SILIVRI,MIMARSINAN,C,37.5
SILIVRI,ORTAKOY,E,12.5
SILIVRI,PIRIMEHMETPASA,C,37.5
SILIVRI,SANCAKTEPE,D,25.0
SILIVRI,SAYALAR,E,12.5
SILIVRI,SELIMPASA,D,25.0
SILIVRI,SEMIZKUMLAR,C,37.5
SILIVRI,SEYMEN,E,12.5
SILIVRI,YENI,C,37.5
SILIVRI,YOLCATI,E,12.5
SULTANBEYLI,ABDURRAHMANGAZI,D,25.0
SULTANBEYLI,ADIL,D,25.0
SULTANBEYLI,AHMETYESEVI,D,25.0
SULTANBEYLI,AKSEMSETTIN,E,12.5
SULTANBEYLI,BATTALGAZI,D,25.0
SULTANBEYLI,FATIH,E,12.5
SULTANBEYLI,HAMIDIYE,E,12.5
SULTANBEYLI,HASANPASA,D,25.0
SULTANBEYLI,MECIDIYE,E,12.5
SULTANBEYLI,MEHMETAKIF,D,25.0
SULTANBEYLI,MIMARSINAN,E,12.5
SULTANBEYLI,NECIPFAZIL,D,25.0
SULTANBEYLI,ORHANGAZI,E,12.5
SULTANBEYLI,TURGUTREIS,E,12.5
SULTANBEYLI,YAVUZSELIM,E,12.5
SULTANGAZI,50.YIL,D,25.0
SULTANGAZI,75.YIL,D,25.0
SULTANGAZI,CEBECI,D,25.0
SULTANGAZI,CUMHURIYET,C,37.5
SULTANGAZI,ESENTEPE,E,12.5
SULTANGAZI,ESKIHABIPLER,D,25.0
SULTANGAZI,GAZI,D,25.0
SULTANGAZI,HABIBLER,E,12.5
SULTANGAZI,ISMETPASA,D,25.0
SULTANGAZI,MALKOCOGLU,D,25.0
SULTANGAZI,SULTANCIFTLIGI,D,25.0
SULTANGAZI,UGURMUMCU,D,25.0
SULTANGAZI,YAYLA,E,12.5
SULTANGAZI,YUNUSEMRE,D,25.0
SULTANGAZI,ZUBEYDEHANIM,D,25.0
SILE,AGACDERE,E,12.5
SILE,AGVAMERKEZ,D,25.0
SILE,AHMETLI,D,25.0
SILE,AKCAKESE,E,12.5
SILE,ALACALI,E,12.5
SILE,AVCIKORU,E,12.5
SILE,BALIBEY,C,37.5
SILE,BICKIDERE,E,12.5
SILE,BOZGOCA,E,12.5
SILE,BUCAKLI,D,25.0
SILE,CATAKLI,E,12.5
SILE,CAVUS,C,37.5
SILE,CAYIRBASI,E,12.5
SILE,CELEBI,E,12.5
SILE,CENGILLI,E,12.5
SILE,DARLIK,E,12.5
SILE,DEGIRMENCAYIRI,E,12.5
SILE,DOGANCILI,E,12.5
SILE,ERENLER,E,12.5
SILE,ESENCELI,E,12.5
SILE,GEREDELI,D,25.0
SILE,GOCE,E,12.5
SILE,GOKMASLI,E,12.5
SILE,GOKSU,E,12.5
SILE,HACIKASIM,C,37.5
SILE,HACILLI,E,12.5
SILE,HASANLI,E,12.5
SILE,IMRENDERE,D,25.0
SILE,IMRENLI,E,12.5
SILE,ISAKOY,E,12.5
SILE,KABAKOZ,E,12.5
SILE,KADIKOY,E,12.5
SILE,KALEM,D,25.0
SILE,KARABEYLI,E,12.5
SILE,KARACAKOY,E,12.5
SILE,KARAKIRAZ,E,12.5
SILE,KARAMANDERE,E,12.5
SILE,KERVANSARAY,E,12.5
SILE,KIZILCA,E,12.5
SILE,KORUCU,E,12.5
SILE,KOMURLUK,E,12.5
SILE,KUMBABA,C+,50.0
SILE,KURFALLI,E,12.5
SILE,KURNA,E,12.5
SILE,MESRUTIYET,E,12.5
SILE,ORUCOGLU,E,12.5
SILE,OSMANKOY,E,12.5
SILE,OVACIK,E,12.5
SILE,SAHILKOY,E,12.5
SILE,SATMAZLI,E,12.5
SILE,SOFULAR,E,12.5
SILE,SOGULLU,E,12.5
SILE,SORTULLU,E,12.5
SILE,SUAYIPLI,E,12.5
SILE,TEKE,E,12.5
SILE,ULUPELIT,E,12.5
SILE,UVEZLI,E,12.5
SILE,YAKA,E,12.5
SILE,YAYLALI,E,12.5
SILE,YAZIMANAYIR,E,12.5
SILE,YENIKOY,E,12.5
SILE,YESILVADI,D,25.0
SISLI,19MAYIS,B+,75.0
SISLI,BOZKURT,B+,75.0
SISLI,CUMHURIYET,A,87.5
SISLI,DUATEPE,B,62.5
SISLI,ERGENEKON,B+,75.0
SISLI,ESENTEPE,A,87.5
SISLI,ESKISEHIR,C+,50.0
SISLI,FERIKOY,B,62.5
SISLI,FULYA,A,87.5
SISLI,GULBAHAR,B,62.5
SISLI,HALASKARGAZI,A,87.5
SISLI,HALIDEEDIPADIVAR,B,62.5
SISLI,HALILRIFATPASA,B+,75.0
SISLI,HARBIYE,A,87.5
SISLI,INONU,B,62.5
SISLI,IZZETPASA,C+,50.0
SISLI,KAPTANPASA,A,87.5
SISLI,KUSTEPE,C,37.5
SISLI,MAHMUTSEVKETPASA,D,25.0
SISLI,MECIDIYEKOY,B+,75.0
SISLI,MERKEZ,A,87.5
SISLI,MESRUTIYET,B+,75.0
SISLI,PASA,C,37.5
SISLI,TESVIKIYE,A+,100.0
SISLI,YAYLA,C,37.5
TUZLA,AKFIRAT,D,25.0
TUZLA,ANADOLU,E,12.5
TUZLA,AYDINLI,C,37.5
TUZLA,AYDINTEPE,C+,50.0
TUZLA,CAMI,B,62.5
TUZLA,EVLIYACELEBI,C,37.5
TUZLA,FATIH,C+,50.0
TUZLA,ICMELER,D,25.0
TUZLA,ISTASYON,B,62.5
TUZLA,MESCIT,D,25.0
TUZLA,MIMARSINAN,D,25.0
TUZLA,ORHANLI,E,12.5
TUZLA,ORTA,C,37.5
TUZLA,POSTANE,B,62.5
TUZLA,SIFA,D,25.0
TUZLA,TEPEOREN,B+,75.0
TUZLA,YAYLA,C,37.5
UMRANIYE,ADEMYAVUZ,D,25.0
UMRANIYE,ALTINSEHIR,C,37.5
UMRANIYE,ARMAGANEVLER,C+,50.0
UMRANIYE,ASAGIDUDULLU,C,37.5
UMRANIYE,ATAKENT,C+,50.0
UMRANIYE,ATATURK,C+,50.0
UMRANIYE,CEMILMERIC,D,25.0
UMRANIYE,CAKMAK,C,37.5
UMRANIYE,CAMLIK,C,37.5
UMRANIYE,DUMLUPINAR,E,12.5
UMRANIYE,ELMALIKENT,C,37.5
UMRANIYE,ESENEVLER,C+,50.0
UMRANIYE,ESENKENT,D,25.0
UMRANIYE,ESENSEHIR,C,37.5
UMRANIYE,FATIHSULTANMEHMET,B+,75.0
UMRANIYE,HEKIMBASI,E,12.5
UMRANIYE,HUZUR,D,25.0
UMRANIYE,IHLAMURKUYU,C,37.5
UMRANIYE,INKILAP,C,37.5
UMRANIYE,ISTIKLAL,C,37.5
UMRANIYE,KAZIMKARABEKIR,E,12.5
UMRANIYE,MADENLER,C+,50.0
UMRANIYE,MEHMETAKIF,B,62.5
UMRANIYE,NAMIKKEMAL,C+,50.0
UMRANIYE,NECIPFAZIL,C+,50.0
UMRANIYE,PARSELLER,C+,50.0
UMRANIYE,SARAY,B+,75.0
UMRANIYE,SITE,B,62.5
UMRANIYE,SERIFALI,B+,75.0
UMRANIYE,TANTAVI,B,62.5
UMRANIYE,TATLISU,B+,75.0
UMRANIYE,TEPEUSTU,C,37.5
UMRANIYE,TOPAGACI,E,12.5
UMRANIYE,YAMANEVLER,C,37.5
UMRANIYE,YUKARIDUDULLU,C,37.5
USKUDAR,ACIBADEM,A,87.5
USKUDAR,AHMEDIYE,B,62.5
USKUDAR,ALTUNIZADE,A,87.5
USKUDAR,AZIZMAHMUTHUDAYI,B+,75.0
USKUDAR,BAHCELIEVLER,B,62.5
USKUDAR,BARBAROS,A,87.5
USKUDAR,BEYLERBEYI,A,87.5
USKUDAR,BULGURLU,B,62.5
USKUDAR,BURHANIYE,B,62.5
USKUDAR,CUMHURIYET,B,62.5
USKUDAR,CENGELKOY,B,62.5
USKUDAR,FERAH,C+,50.0
USKUDAR,GUZELTEPE,C+,50.0
USKUDAR,ICADIYE,B+,75.0
USKUDAR,KANDILLI,A,87.5
USKUDAR,KISIKLI,B,62.5
USKUDAR,KIRAZLITEPE,D,25.0
USKUDAR,KULELI,C,37.5
USKUDAR,KUZGUNCUK,A,87.5
USKUDAR,KUCUKCAMLICA,B+,75.0
USKUDAR,KUCUKSU,C+,50.0
USKUDAR,KUPLUCE,D,25.0
USKUDAR,MEHMETAKIFERSOY,C,37.5
USKUDAR,MIMARSINAN,B,62.5
USKUDAR,MURATREIS,B,62.5
USKUDAR,SALACAK,A,87.5
USKUDAR,SELAMIALI,B,62.5
USKUDAR,SELIMIYE,B+,75.0
USKUDAR,SULTANTEPE,B+,75.0
USKUDAR,UNALAN,B,62.5
USKUDAR,VALIDE-IATIK,B,62.5
USKUDAR,YAVUZTURK,C,37.5
USKUDAR,ZEYNEPKAMIL,B,62.5
ZEYTINBURNU,BESTELSIZ,C,37.5
ZEYTINBURNU,CIRPICI,D,25.0
ZEYTINBURNU,GOKALP,C,37.5
ZEYTINBURNU,KAZLICESME,B,62.5
ZEYTINBURNU,MALTEPE,A,87.5
ZEYTINBURNU,MERKEZEFENDI,C+,50.0
ZEYTINBURNU,NURIPASA,C,37.5
ZEYTINBURNU,SEYITNIZAM,C+,50.0
ZEYTINBURNU,SUMER,C,37.5
ZEYTINBURNU,TELSIZ,C,37.5
ZEYTINBURNU,VELIEFENDI,C,37.5
ZEYTINBURNU,YENIDOGAN,C,37.5
ZEYTINBURNU,YESILTEPE,D,25.0
