stop_id,stop_code,stop_lat,stop_lon
18926,200016,41.083287780558,29.0665429954959
18908,200027,41.0179947226792,28.9740817118888
18910,200048,41.0410405054671,29.0073618373518
18939,200327,40.9917168827583,29.021731384099
18920,200022,41.0217608046809,28.9765707068861
18915,200044,40.992993378716,29.0227098868733
18917,200001,41.0510321851052,29.0514175572015
87063,200338,41.113481697445,29.0573095161876
272185,200345,41.0809508528703,29.0545221783145
94867,200340,41.0182684977867,28.973107711326
18911,200323,40.8770724216939,29.1020486584472
18940,200002,41.0399527438131,29.0056554003578
18927,200043,41.0369024446068,29.0297691641189
18916,200020,41.0408057823696,28.9448160080324
18918,200052,41.0337070141002,28.9936013124533
18950,200032,41.0471764118418,29.0256855144434
18921,200051,41.0791765147275,29.0651156614152
18951,200039,41.0348382595107,28.9493324695385
18928,200015,41.0667778799808,29.0434343511809
18925,200009,41.1003096604636,29.065258217361
18931,200023,41.047314964058,28.9378306667021
18936,200036,41.0175457041149,28.9751598562882
18943,200040,41.0303755473928,28.9661732233667
18934,200041,41.1168170637311,29.0931989131556
18923,200328,40.9916827411829,29.0216222907678
18914,200321,41.1343110149798,29.0903133275869
18944,200053,41.1816276668354,29.0751996678831
18945,200055,41.1074643711496,29.0804399779226
18912,200030,40.9105737695571,29.055537864231
18946,200004,41.0763200619654,29.0445507448384
18932,200007,41.0450375270834,29.0445421884168
18924,200050,41.1733962312688,29.0879039342868
87065,200339,41.1085290560899,29.0825008833686
18937,200008,41.1030605840346,29.056130550166
18909,200010,41.0277715063162,29.0149659917595
18948,200042,40.8757720135095,29.1279760767442
18952,200038,41.1662693879972,29.0575846541591
18922,200025,41.1132669148169,29.0613132273727
18935,200019,41.0309808513045,28.9526642159593
18913,200006,40.9514859167012,29.094057793734
18930,200021,41.0466380306975,28.9406835996403
18942,200034,41.0745622735847,29.0582283911397
18929,200029,40.8811465698285,29.0706015670943
18919,200046,41.0405834165181,28.9490991610731
214365,302,40.7842492519915,29.4095634828195
214374,293,40.9604752408322,29.0844186912134
12260,65,41.013545950893,28.9770540249921
272165,336,41.0633428069307,28.6992848293957
214371,296,40.9786961509793,29.0490084626684
214389,278,40.8522885876792,29.2931664014893
214368,299,40.8076260643992,29.3639258834218
214381,286,40.8985880196095,29.1694542074836
214364,265,40.9858745807536,28.9054462645074
214376,291,40.9462573975736,29.1068216034401
214355,274,41.0062789769983,28.7739502215087
214385,282,40.8802067715332,29.2316720558041
214372,295,40.9791648388466,29.0625591735035
214356,273,40.9885301752163,28.7729538518441
214358,271,40.9677718222994,28.7970462624679
214370,297,40.990902337839,29.0376279458605
214384,283,40.8845046267267,29.2105353314047
272164,337,41.0479107181971,28.7478913887338
214357,272,40.9729629167419,28.7874770796778
214382,285,40.8905590782827,29.1773527136764
214375,292,40.9538001484529,29.0950591485625
214390,277,40.8456508904887,29.3000611746553
12258,67,41.000142555216,29.0301410162619
214380,287,40.9100151224824,29.1560454699434
272163,338,41.0347259518404,28.7632680871857
214388,279,40.8568547122426,29.2834955974544
214360,269,40.9654758614525,28.8372823708532
12262,237,40.992686765903,28.9168834698481
214379,288,40.9206463835831,29.1335259970986
272166,335,41.0841902407978,28.6793350375517
214354,275,41.0178427940864,28.7664382511562
214383,284,40.8886128831676,29.1911901410005
214377,290,40.9378068714961,29.1142558579521
214369,298,40.8104982886506,29.3475125745724
214391,276,40.8299524360082,29.3223601331439
12259,68,41.025756685677,29.0137932912137
214366,301,40.7914192062897,29.3918381727911
214361,268,40.9802168588159,28.8562250170243
214373,294,40.9714092751695,29.0764726675955
214362,267,40.9802655959296,28.8723187722271
214359,270,40.9626579916415,28.8248828840576
214386,281,40.8713029434192,29.2560336339024
214367,300,40.7992722879167,29.3800141019468
214363,266,40.9817390460176,28.8810507091285
214378,289,40.9268299858791,29.1242047148349
12261,234,41.004779309437,28.9495799493274
214387,280,40.8609774863764,29.2733636213888
272182,332,41.0583950860259,28.7993743237804
19040,167,40.9897816869318,29.0289672614749
272178,313,41.0811903035045,28.8750662124106
19070,22,41.0416319678308,28.9195204853492
272186,355,40.9508865308299,29.0976189809682
19036,168,40.9878556649575,29.0285669249365
272187,356,40.9605472641736,29.0937084922833
272188,357,40.9667774716853,29.0867181509301
272191,360,40.9789845394359,29.1264249060101
272190,359,40.978918486515,29.1117414467837
